login_hour,failed_attempts,is_new_device,is_unusual_country,login_day,risk_label
20,1,0,1,1,1
7,2,0,0,4,0
13,0,0,0,1,0
7,8,0,0,5,1
20,8,1,0,3,1
18,4,0,0,5,1
13,5,1,0,1,1
10,1,0,1,0,1
11,5,1,0,5,1
14,8,0,1,0,2
17,4,1,0,5,1
2,0,0,1,0,1
7,1,1,1,3,1
20,5,0,1,2,1
6,10,1,0,4,2
20,2,0,0,3,0
12,4,0,1,6,1
1,3,0,1,3,2
8,1,0,1,1,1
20,7,1,1,1,2
8,2,0,1,5,1
18,6,1,1,1,2
4,8,1,0,6,2
1,1,0,0,6,1
21,6,0,1,3,2
19,7,1,0,5,2
23,1,1,1,0,1
9,6,0,1,0,2
23,4,0,0,6,1
20,4,0,0,2,0
5,8,0,1,3,2
0,1,1,1,1,2
1,3,0,0,5,1
15,1,0,0,5,0
15,8,0,1,4,2
19,6,0,0,5,1
9,6,1,1,4,2
14,1,0,0,0,0
10,0,0,0,0,0
2,10,0,0,0,2
1,5,0,0,2,1
21,7,0,0,5,1
18,9,1,0,6,2
15,6,0,0,0,1
21,6,1,1,3,2
14,0,0,0,3,0
23,5,0,0,1,1
6,8,1,0,3,2
5,4,1,0,6,2
2,7,0,0,5,2
17,0,0,0,1,0
13,7,1,0,6,2
12,0,0,1,0,1
12,4,1,1,3,2
22,8,1,0,1,1
9,3,0,0,5,1
10,0,0,1,4,1
16,2,0,0,6,0
5,1,0,0,3,1
3,9,0,0,4,2
2,6,1,1,1,2
21,5,0,1,3,1
4,10,1,1,2,2
2,0,1,0,0,1
17,3,1,0,2,1
2,3,1,1,1,2
14,8,1,0,5,2
17,4,0,0,2,0
3,1,0,1,2,1
19,3,1,0,5,1
20,4,1,1,6,2
1,1,1,1,0,2
0,5,0,1,1,2
23,7,1,0,0,2
2,2,0,1,4,1
17,2,1,0,0,0
9,5,0,1,1,1
21,3,0,1,6,1
17,6,0,0,6,1
5,2,1,0,1,1
23,5,1,0,2,1
5,1,1,0,6,1
15,3,0,1,2,1
9,3,0,0,5,1
6,6,1,1,6,2
2,4,1,1,5,2
17,5,0,0,2,0
5,9,1,0,0,2
19,6,1,1,3,2
19,8,0,1,4,2
6,4,0,1,0,1
16,8,0,1,3,2
2,10,1,1,5,2
3,4,1,1,2,2
12,4,0,0,3,0
21,6,0,1,3,2
17,0,1,1,1,1
13,9,1,1,3,2
14,10,0,1,6,2
23,2,0,1,4,1
21,10,1,0,6,2
7,10,1,0,6,2
6,2,0,0,1,0
15,9,0,1,3,2
20,9,0,1,3,2
12,3,0,0,6,1
3,6,0,0,6,2
22,8,1,0,4,1
7,1,1,0,6,1
14,10,1,1,4,2
23,8,1,1,1,2
23,7,1,1,6,2
7,10,1,1,5,2
7,4,1,0,5,1
9,3,1,1,2,2
17,1,0,0,1,0
12,2,0,0,3,0
13,5,1,1,0,2
6,6,1,0,6,2
18,6,1,0,2,1
9,6,1,0,3,1
7,4,1,1,0,2
12,5,1,0,6,1
14,2,0,1,4,1
18,10,0,0,5,1
13,2,1,0,0,0
8,6,1,0,3,1
10,5,1,1,6,2
13,4,0,1,0,1
23,8,0,1,1,2
20,1,0,0,1,0
6,0,0,0,1,0
15,10,0,0,3,1
22,4,1,0,4,1
19,1,0,1,0,1
18,0,1,1,3,1
22,3,0,0,0,0
22,4,0,0,2,0
17,6,1,0,4,1
20,5,0,1,6,1
15,1,1,1,5,1
14,2,1,0,5,1
16,10,1,1,3,2
13,9,1,1,6,2
7,1,1,1,1,1
14,9,1,1,0,2
15,5,0,1,1,1
11,4,1,1,4,2
22,4,0,0,0,0
7,6,1,0,5,2
15,10,1,1,6,2
0,1,1,0,3,1
22,3,1,1,3,2
17,8,1,1,5,2
17,5,1,1,2,2
9,4,0,0,5,1
6,5,0,0,1,1
6,7,1,1,0,2
6,4,0,1,1,1
9,0,0,1,0,1
1,8,1,0,5,2
15,1,0,1,3,1
15,7,1,0,0,1
8,7,0,0,3,1
15,1,0,0,1,0
18,4,0,0,0,0
17,6,0,1,3,2
14,4,1,1,4,2
19,0,0,0,5,0
6,4,0,0,1,1
5,8,0,0,0,2
13,7,1,1,0,2
7,4,1,1,0,2
21,3,1,0,3,1
3,8,0,0,2,2
4,1,0,0,6,1
9,9,1,1,0,2
14,4,1,1,4,2
17,7,1,0,4,1
1,6,1,1,0,2
2,3,0,1,4,2
1,2,1,1,2,2
5,9,1,1,0,2
15,5,1,1,2,2
21,1,0,1,3,1
22,7,1,1,6,2
17,0,1,0,2,0
8,5,0,1,6,1
16,0,1,1,0,1
6,8,1,1,5,2
14,0,0,1,4,1
4,4,1,1,0,2
0,10,0,0,2,2
17,0,1,0,1,0
3,7,0,0,3,2
22,4,1,1,6,2
15,7,0,1,4,2
4,6,0,0,6,2
2,4,1,1,6,2
16,4,0,1,5,1
9,9,1,0,3,1
17,7,1,1,4,2
17,6,1,1,6,2
6,3,1,0,6,1
13,0,1,1,5,1
12,6,0,1,0,2
4,8,1,0,6,2
14,1,1,0,5,1
4,6,0,0,3,2
8,5,1,0,6,1
10,10,1,1,5,2
22,7,0,0,1,1
20,10,1,0,5,2
2,6,0,0,3,2
5,4,0,0,2,1
1,4,1,1,3,2
4,3,1,0,1,2
5,1,1,0,3,1
18,2,0,1,5,1
8,7,1,0,6,2
14,4,0,0,3,0
11,9,1,1,5,2
8,7,1,0,3,1
15,1,0,1,4,1
11,9,1,1,0,2
21,6,1,0,4,1
21,0,1,1,6,1
7,9,1,0,5,2
6,9,1,0,5,2
3,10,0,1,6,2
14,0,1,0,0,0
9,5,1,0,1,1
4,8,1,1,6,2
5,4,1,1,5,2
10,1,1,0,1,0
7,10,1,1,0,2
12,0,1,0,3,0
11,10,1,1,6,2
20,5,0,0,3,0
0,9,1,0,5,2
2,10,1,1,5,2
13,1,0,0,0,0
9,7,0,0,1,1
17,2,1,1,2,1
21,8,1,0,3,1
20,1,1,1,2,1
1,5,0,1,3,2
7,5,0,1,4,1
20,5,0,1,2,1
6,1,1,0,5,1
6,10,0,0,6,1
10,3,0,0,0,0
17,3,0,0,2,0
4,9,0,1,6,2
4,2,1,0,0,1
21,0,0,0,2,0
7,9,1,0,1,2
8,0,0,1,4,1
3,1,1,1,6,2
11,8,0,1,4,2
7,9,0,1,3,2
20,0,0,1,6,1
12,6,0,1,5,2
14,1,0,1,4,1
4,1,0,1,4,1
20,9,1,1,4,2
16,4,1,1,0,2
22,1,0,1,3,1
7,6,1,1,3,2
13,1,1,1,2,1
21,4,1,0,5,1
15,1,0,0,0,0
13,1,1,0,4,0
1,9,1,0,3,2
11,10,1,0,2,1
19,4,1,0,4,1
16,3,0,1,1,1
3,5,1,0,6,2
8,9,0,1,6,2
17,9,0,1,0,2
5,4,1,1,2,2
0,2,0,1,0,1
4,10,0,0,5,2
16,3,1,1,3,2
10,2,1,1,5,1
10,9,0,0,1,1
5,9,0,0,2,2
14,10,1,1,4,2
14,6,1,0,6,2
16,1,1,1,0,1
9,10,1,1,0,2
7,6,0,0,1,1
9,3,0,1,2,1
10,1,0,1,5,1
13,2,0,1,4,1
22,3,1,0,3,1
23,0,1,0,3,1
2,5,1,1,5,2
20,6,1,0,3,1
0,5,0,1,6,2
22,5,0,1,6,1
3,3,1,1,4,2
2,6,1,1,1,2
10,2,0,0,4,0
16,3,1,1,5,2
20,2,0,0,1,0
8,3,0,0,6,1
20,1,0,1,3,1
18,9,1,1,6,2
20,5,0,1,0,1
15,7,1,1,4,2
1,5,0,1,3,2
14,0,0,1,6,1
9,1,0,1,3,1
18,8,0,1,6,2
18,10,0,1,4,2
15,8,0,0,3,1
3,5,0,0,0,1
7,7,1,0,2,2
11,4,1,1,6,2
10,10,0,1,0,2
10,1,1,1,2,1
23,10,0,1,0,2
18,10,0,1,2,2
20,10,1,0,4,1
22,1,1,1,5,1
10,2,0,1,4,1
11,0,1,1,1,1
6,5,1,0,1,1
4,2,0,1,6,2
3,8,0,1,6,2
19,2,1,0,1,0
5,9,0,1,0,2
13,5,0,1,4,1
9,7,0,0,2,1
15,3,1,1,3,2
9,6,1,0,6,2
6,9,0,1,0,2
20,7,1,0,5,2
16,1,1,0,6,1
5,4,1,0,6,2
13,1,0,1,2,1
0,6,0,1,4,2
11,3,1,0,2,1
7,0,1,0,6,1
22,10,1,0,1,1
1,4,1,0,6,2
22,7,1,0,0,1
0,4,0,0,4,1
23,9,1,0,6,2
9,3,1,0,0,1
7,6,1,0,0,2
15,9,0,0,5,1
4,4,1,0,4,2
11,3,1,0,5,1
21,1,1,0,4,0
17,8,0,1,6,2
15,0,1,1,2,1
23,0,1,0,2,1
7,10,0,1,1,2
1,5,1,0,6,2
21,7,1,0,6,2
4,1,1,0,2,1
6,0,0,0,2,0
9,8,1,1,2,2
1,10,0,1,2,2
1,10,1,1,0,2
11,6,1,1,3,2
10,2,1,1,2,1
16,4,0,1,0,1
13,9,0,1,2,2
3,1,1,1,2,2
14,9,1,0,5,2
14,5,1,0,5,1
11,9,1,1,5,2
1,1,1,1,4,2
23,10,0,0,1,1
19,10,1,0,1,1
2,3,1,1,3,2
18,0,0,1,2,1
11,7,0,0,4,1
11,6,1,1,1,2
3,0,0,1,4,1
12,8,0,1,6,2
8,7,0,1,5,2
15,3,0,0,6,1
2,7,0,1,0,2
21,5,1,0,4,1
17,4,1,0,5,1
22,10,0,1,4,2
